address,city,zip,beds,baths,sqft,year,saleprice,zestimate,rent,type,hoa,tax,apprec,url
,austin,78741,4.0,3.0,2128,2005,320000,"['""zestimate"":316098']","['""rentZestimate"":2050']",single family,"['HOA Fee"",""factValue"":""$18']","2018 $6,485 -- $277,096 +6.1%","$327,003 (+3.4 %)",https://www.zillow.com/homedetails/1421-Anise-Dr-Austin-TX-78741/70345767_zpid/
,austin,78745,3.0,2.0,1016,1973,269000,"['""zestimate"":272970']","['""rentZestimate"":1595']",single family,[],"2018 $4,628 -- $240,851 +15.2%","$281,623 (+3.2 %)",https://www.zillow.com/homedetails/7301-Lunar-Dr-Austin-TX-78745/29501345_zpid/
,austin,78725,3.0,2.0,1652,2015,209900,"['""zestimate"":227651']","['""rentZestimate"":1600']",single family,"['HOA Fee"",""factValue"":""$25']","2018 $4,295 -- $243,610 +6.6%","-$3,487 (-1.5 %)",https://www.zillow.com/homedetails/4532-Cleto-St-Austin-TX-78725/145657288_zpid/
,austin,78745,3.0,2.0,1276,1975,325000,"['""zestimate"":307315']","['""rentZestimate"":1675']",single family,[],"2018 $5,257 -- $243,446 +2.5%","$318,132 (+3.5 %)",https://www.zillow.com/homedetails/2607-Lazy-Oaks-Dr-Austin-TX-78745/29493546_zpid/
,austin,78753,2.0,,891,1983,203000,"['""zestimate"":208940']","['""rentZestimate"":1412']",single family,[],"2018 $3,830 -- $166,696 +11.5%","$218,739 (+4.7 %)",https://www.zillow.com/homedetails/11934-Shropshire-Blvd-Austin-TX-78753/29434786_zpid/
,austin,78745,3.0,2.0,1105,1976,276000,"['""zestimate"":269781']","['""rentZestimate"":1500']",single family,[],"2018 $4,955 -- $253,331 +13.2%","$280,329 (+3.9 %)",https://www.zillow.com/homedetails/1209-S-Trace-Dr-Austin-TX-78745/29490019_zpid/
,austin,78754,3.0,2.0,1429,2006,209900,"['""zestimate"":208933']","['""rentZestimate"":1500']",single family,"['HOA Fee"",""factValue"":""$49']","2018 $3,690 -- $186,218 +10%","$216,726 (+3.7 %)",https://www.zillow.com/homedetails/12441-Granton-Cv-Austin-TX-78754/69809173_zpid/
,austin,78729,3.0,2.5,1265,1986,279900,"['""zestimate"":260245']","['""rentZestimate"":1550']",single family,[],"2018 $4,875 -- $228,617 +6.3%","-$1,225 (-0.5 %)",https://www.zillow.com/homedetails/12912-Modena-Trl-Austin-TX-78729/185187009_zpid/
,austin,78758,3.0,2.0,1444,1975,285000,"['""zestimate"":278764']","['""rentZestimate"":1550']",single family,[],"2018 $3,392 -- $195,143 +10%","$288,047 (+3.3 %)",https://www.zillow.com/homedetails/10604-Barnhill-Dr-Austin-TX-78758/29432582_zpid/
,austin,78723,4.0,2.0,1513,1970,275000,"['""zestimate"":338226']","['""rentZestimate"":1750']",single family,[],"2018 $5,229 -- $292,128 +10%","$349,151 (+3.2 %)",https://www.zillow.com/homedetails/7310-Meadowood-Dr-Austin-TX-78723/29410152_zpid/
,austin,78724,,,,,196990,"['""zestimate"":200446']","['""rentZestimate"":1525']","mon - mon: 12pm - 6pm, tue - sat: 10am - 6pm, sun - sun: 12pm - 6pm",[],,"+$4,224 (+2.2 %)",https://www.zillow.com/community/tiermo/2089293078_zpid/
,austin,78754,,,,,286990,"['""zestimate"":273207']","['""rentZestimate"":1850']","mon - mon: 12pm - 6pm, tue - sat: 10am - 6pm, sun - sun: 12pm - 6pm",[],,Unavailable,https://www.zillow.com/homedetails/11108-Night-Camp-Dr-Austin-TX-78754/2086290836_zpid/
